Model,Row,Col,Angle,Force,Success
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,5.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,10.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,270,15.0,0
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,0
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,1
PPO (Visible),0,0,315,0.0,0
PPO (Visible),0,0,315,0.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,5.0,1
PPO (Visible),0,0,315,5.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,10.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
PPO (Visible),0,0,315,15.0,0
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,0
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,0
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,1
LSTM (Visible),0,1,0,0.0,1
