rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,robustness/avg_impact_vel,robustness/cvar_5_percent
211.7,1203,31632,26,-197.08453787,180,1900,25.335469846725463,0.0003,-1.343222246170044,4.911019620895385,0.5884630262851716,,
216.09,1213,32712,26,-192.20993254999996,184,1950,24.944909152984618,0.0003,-1.367570276260376,5.300677666664123,0.5805056548118591,0.16653703,-373.89346480000006
220.88,1216,34344,28,-187.54438118000002,188,2050,18.81821385383606,0.0003,-1.397166223526001,5.025721807479858,0.5652121841907501,,
231.11,1217,35880,29,-185.58770389000006,192,2150,23.840012044906615,0.0003,-1.464258589744568,5.493477659225464,0.550319676399231,,
250.8,1207,38456,31,-186.64029055999995,196,2350,17.881878938674927,0.0003,-1.540149714946747,5.883131408691407,0.5214104545116425,0.16198896,-360.1518846
264.28,1221,40580,33,-187.37791639000002,200,2450,17.23489573478699,0.0003,-1.5893290829658508,5.946664834022522,0.5076748752593994,0.14959633,-360.1518846
282.12,1221,43536,35,-183.58281254999997,204,2650,18.631204109191895,0.0003,-1.6633452343940736,5.81858500957489,0.4813091653585434,,
302.18,1227,46840,38,-183.70732617,208,2850,17.434102301597594,0.0003,-1.7554302597045899,5.956696214675904,0.45642762422561645,0.13624386,-375.0264694
333.31,1231,50840,41,-179.28898790999995,212,3100,21.23443684577942,0.0003,-1.849711127281189,4.747093760967255,0.4270941573381424,0.13435568,-375.0264694
361.58,1234,54028,43,-172.07594733000002,216,3300,18.622171020507814,0.0003,-1.9220827150344848,4.9780626344680785,0.4050231969356537,0.126694,-375.0264694
388.01,1242,57524,46,-168.57636975000003,220,3500,15.22636821269989,0.0003,-1.9616898322105407,4.612911767959595,0.3839967107772827,0.124204785,-375.0264694
421.17,1201,61524,51,-157.76970262999998,224,3750,14.148271770477296,0.0003,-2.029245398044586,4.816664814949036,0.35943355202674865,0.12349436,-366.7896232
447.15,1149,64744,56,-150.26658659,228,3950,16.15494520187378,0.0003,-2.154598171710968,4.818145174980163,0.3407987952232361,0.12172284,-366.7896232
478.65,1085,68180,62,-144.00346998,232,4200,17.588931164741517,0.0003,-2.1729710698127747,5.058422668576241,0.3186152708530426,0.114043735,-359.8348062
512.89,1044,72180,69,-139.01693993,236,4450,18.4605983877182,0.0003,-2.289573109149933,4.732414598464966,0.29813425421714784,0.109481335,-359.8348062
540.82,1006,76180,75,-133.74709225,240,4700,14.921571288108826,0.0003,-2.270556628704071,4.294171851873398,0.2791214597225189,0.105073445,-359.8348062
572.11,975,80180,82,-125.46865856999997,244,4950,16.592356343269348,0.0003,-2.3201010465621947,4.378827022314072,0.26140146613121035,0.100494474,-359.8348062
600.9,948,84180,88,-116.09098145999998,248,5200,13.298661451339722,0.0003,-2.3821921586990356,4.408123276233673,0.24497853338718414,0.09406921,-330.92685120000004
630.79,923,88180,95,-111.37398158999999,252,5450,16.69409740447998,0.0003,-2.3964951395988465,4.644405188560486,0.2295765009522438,0.09269625,-326.9943502
660.4,908,91580,100,-107.54012677,256,5650,11.445273728370667,0.0003,-2.499427146911621,4.753271642923355,0.21779025614261627,,
682.68,894,95580,106,-103.62109527000001,260,5900,13.18732208251953,0.0003,-2.4588788318634034,5.491311193108559,0.2039964285492897,0.0880992,-326.9943502
710.61,881,99580,112,-98.36487754000001,264,6150,11.610670552253723,0.0003,-2.4679672479629517,5.1842818713188175,0.1912526747584343,0.08644854,-326.9943502
